작성일,제목,내용,추천수,카테고리
2024-08-26,초등학생 AI 코딩 교육 의무화 제안,4차 산업혁명 시대에 맞춰 모든 초등학생이 AI 및 코딩 기초 교육을 받을 수 있도록 정규 교과 과정에 편성할 것을 제안합니다. 이를 통해 미래 사회에 필요한 디지털 문해력과 논리적 사고력을 조기에 함양할 수 있습니다.,154,교육
2025-03-09,대학 등록금 부담 완화를 위한 국가장학금 유형 확대,"현행 국가장학금 제도를 확대 개편하여, 성적 기준을 일부 완화하고 소득분위 하위 계층뿐만 아니라 중산층까지 혜택을 받을 수 있는 새로운 장학금 유형을 신설할 것을 제안합니다.",122,교육
2024-12-01,도심 내 유휴부지를 활용한 소규모 공원 조성,"도심의 사용되지 않는 국공유지를 적극적으로 활용하여, 주민들이 쉽게 접근할 수 있는 소규모 '쌈지공원'을 조성하는 정책을 제안합니다. 이는 도시의 녹지 비율을 높이고 시민들의 휴식 공간을 확충하는 데 기여할 것입니다.",17,환경
2024-10-26,재활용품 분리배출 품목 표준화 및 안내 강화,"지역마다 다른 재활용품 분리배출 기준을 전국적으로 표준화하고, QR코드를 활용한 모바일 안내 시스템을 도입하여 시민들의 혼란을 줄이고 재활용률을 높일 것을 제안합니다.",19,환경
2025-04-25,출퇴근 시간대 대중교통 배차 간격 단축,"수도권 주요 노선을 중심으로 출퇴근 시간(오전 7-9시, 오후 6-8시)에 버스 및 지하철 배차 간격을 현재보다 10% 이상 단축하여 대중교통 혼잡도를 개선하고 시민들의 편의를 증진시켜야 합니다.",166,교통
2025-02-13,노후 교실 환경 개선을 위한 '스마트 교실' 전환 사업,"조명, 냉난방 시설 등 노후화된 학교 시설을 개선하고, 전자칠판과 태블릿 PC 등 IT 기기를 보급하는 '스마트 교실' 전환 사업을 통해 학생들에게 쾌적하고 효율적인 학습 환경을 제공할 것을 제안합니다.",165,교육
2025-03-28,공교육 정상화를 위한 교권 보호법 개정,"교사의 정당한 교육 활동이 부당하게 침해받지 않도록, 아동복지법 등 관련 법률의 모호한 조항을 개정하고 교권 보호 위원회의 권한을 강화하는 방향으로 교권 보호법을 개정할 것을 촉구합니다.",213,교육
2025-03-10,청소년 대상 금융 교육 프로그램 확대,"청소년들이 올바른 경제 관념을 확립할 수 있도록, 학교 재량 활동이나 방과 후 프로그램과 연계하여 실생활 중심의 금융 교육(저축, 투자, 신용관리 등)을 확대 실시할 것을 제안합니다.",0,교육
2024-09-22,지역 소멸 대응을 위한 지방 대학 특성화 지원 강화,"수도권 집중 현상을 완화하고 지역 균형 발전을 위해, 지역 거점 대학들이 해당 지역의 산업과 연계된 특성화 학과를 운영할 수 있도록 정부의 행정적, 재정적 지원을 대폭 강화해야 합니다.",153,교육
2025-08-03,일회용품 사용 규제 강화 및 다회용기 인프라 구축,"카페, 식당 등에서 일회용품 사용 규제를 강화하고, 공공장소에 다회용기 반납 및 세척 시스템을 구축하여 지속 가능한 소비 문화를 정착시켜야 합니다.",2,환경
2024-09-25,학교 폭력 예방을 위한 전문 상담교사 배치 확대,"학교 폭력 문제에 전문적으로 대응하기 위해, 현재 과밀학급 및 대규모 학교 중심으로 배치된 전문 상담교사를 모든 초·중·고등학교에 의무적으로 배치하도록 법제화할 것을 제안합니다.",201,교육
2025-01-06,유아기 발달 격차 해소를 위한 무상 그림책 지원 사업,"모든 영유아 가정에 매년 발달 단계에 맞는 그림책을 무상으로 제공하는 '북스타트' 사업을 전국적으로 확대하여, 가정 환경에 따른 교육 격차를 유아기부터 해소해야 합니다.",1,교육
2025-08-06,보행자 안전을 위한 도심 '안전속도 5030' 정책 유지 및 강화,"교통사고 사망자를 줄이는 데 효과가 입증된 '안전속도 5030' 정책을 안정적으로 유지하고, 어린이 보호구역뿐만 아니라 노인 보호구역 등 교통약자 보호 구역을 확대 지정할 것을 제안합니다.",115,교통
2025-05-08,미세먼지 저감을 위한 노후 경유차 조기 폐차 지원 확대,"수도권에 집중된 노후 경유차 조기 폐차 지원 사업을 전국으로 확대하고, 지원금액을 상향 조정하여 대기오염의 주범인 미세먼지를 획기적으로 줄여나가야 합니다.",168,환경
2024-10-11,다문화 가정 자녀를 위한 한국어 교육 지원 확대,"다문화 가정 자녀들이 학교생활에 원만하게 적응할 수 있도록, 찾아가는 한국어 교육(KSL) 프로그램을 확대하고, 이중언어 교육을 통해 강점을 개발할 수 있도록 지원해야 합니다.",28,교육
2025-06-23,청년 1인 가구를 위한 공공임대주택 공급 확대,"청년층의 주거 안정을 위해, 역세권 등 교통이 편리한 지역에 시세보다 저렴한 '청년 맞춤형 공공임대주택' 공급 물량을 현재의 2배 수준으로 확대할 것을 제안합니다.",34,복지
2025-03-06,늘봄학교 전국 확대 및 프로그램 다양화,"맞벌이 가정의 돌봄 공백을 해소하기 위해 초등 늘봄학교를 전국적으로 확대하고, 코딩, 예체능 등 학생들의 흥미와 적성을 고려한 다양한 프로그램을 개발하여 제공해야 합니다.",71,교육
2024-08-26,사교육비 경감을 위한 EBS 교육 콘텐츠 고도화,"EBS가 인공지능(AI) 기반의 맞춤형 학습 진단 서비스를 제공하고, VR/AR 등 최신 기술을 활용한 실감형 교육 콘텐츠를 개발하여 공교육을 보완하고 사교육 의존도를 낮출 것을 제안합니다.",185,교육
2025-06-13,장애 학생 이동권 보장을 위한 특수학교 통학 지원 개선,"장애 학생들이 안전하게 통학할 수 있도록, 모든 특수학교에 휠체어 탑승이 가능한 특장 버스를 100% 보급하고, 통학 도우미 인력을 증원해야 합니다.",167,교육
2025-08-07,명절 기간 고속도로 버스전용차로 시간 연장,"귀성 및 귀경객의 편의를 위해, 설과 추석 등 명절 연휴 기간에 한시적으로 고속도로 버스전용차로 운영 시간을 현행보다 2시간 연장(예: 오전 7시 ~ 오후 11시)할 것을 제안합니다.",22,교통
2025-01-13,전통시장 활성화를 위한 온누리상품권 사용처 확대,"침체된 전통시장에 활력을 불어넣기 위해, 현재 일부 가맹점에서만 사용 가능한 온누리상품권을 모든 종류의 카드 단말기가 설치된 점포에서 사용할 수 있도록 시스템을 개선해야 합니다.",71,경제
2025-01-02,디지털 소외 계층을 위한 '찾아가는 디지털 교육' 실시,"고령층, 장애인 등 디지털 기기 사용에 어려움을 겪는 정보 소외 계층을 위해, 지역 주민센터나 복지관과 연계하여 '찾아가는 스마트폰·키오스크 활용 교육'을 정기적으로 실시할 것을 제안합니다.",127,교육
2024-08-26,독거노인 고독사 예방을 위한 AI 안부 확인 서비스 도입,"독거노인 가정에 통신사와 연계된 AI 스피커를 보급하여, 주기적으로 안부를 묻고 응급 상황 발생 시 119 및 보호자에게 자동으로 연락하는 사회 안전망을 구축해야 합니다.",60,복지
2024-11-15,장애인 활동 지원 서비스 본인부담금 인하,"장애인의 사회 활동 참여를 보장하고 가족의 돌봄 부담을 덜어주기 위해, 장애인 활동 지원 서비스에 대한 본인부담금 상한선을 현재보다 30% 낮추는 정책이 필요합니다.",103,복지
2025-07-05,소상공인 풍수해보험 지원 확대를 통한 경영 안정화,"기후 변화로 인해 빈번해지는 태풍, 홍수 등 자연재해로부터 소상공인을 보호하기 위해, 정부가 보험료의 80% 이상을 지원하는 '소상공인 풍수해보험' 가입 대상을 확대해야 합니다.",111,경제
